allergy_alternative,antibiotic_criteria_source_ready,antibiotic_gate_id,antibiotic_gate_ready,avoid_if,bacterial_criteria_required,criteria_text,disease_key,duration_rule,final_antibiotic_status,gate_logic,generic_name,guideline_next_action,line_of_therapy,major_interactions,no_antibiotic_source_ready,not_for_viral_use,pediatric_caution,pregnancy_caution,product_id,red_flag_source_ready,renal_caution,source_ids,missing_fields
,False,abx_2716548d58f7,False,,True,,impetigo_oral_antibiotic_adult,5–7 days,source_missing_hide_from_rx,,Fusidic acid 20 mg./1 g.,,RX2,,False,False,,,BDS001991,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_43f4adbc1c91,False,,True,,impetigo_oral_antibiotic_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,RX1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_2cefc801c588,False,,True,,impetigo_oral_antibiotic_adult,5–7 days,source_missing_hide_from_rx,,Fusidic acid 20 mg./1 g.,,RX2,,False,False,,,BDS001991,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_e39c3a6b5e22,False,,True,,localized_folliculitis_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,SWAP1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_a329ef437fbf,False,,True,,localized_folliculitis_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,SWAP1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_4cada5b90e9b,False,,True,,localized_folliculitis_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,SWAP1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_5a9719b6393a,False,,True,,infected_abrasion_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,SWAP1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_9443e68b6be3,False,,True,,infected_abrasion_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,SWAP1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_d5415a672e6b,False,,True,,infected_abrasion_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 500 mg.,,SWAP1,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_006c314e9d72,False,,True,,infected_eczema_localized_adult,5 days,source_missing_hide_from_rx,,Fusidic acid 20 mg+Hydrocortisone Acetate 10 mg+อื่นๆ/1 g,,RX1,,False,False,,,BDS001910,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_5bcb1a63b7f3,False,,True,,infected_eczema_localized_adult,5 days,source_missing_hide_from_rx,,Fusidic acid 20 mg+Betamethasone Valerate (eq. to Betamethasone 1 mg)+Preservative (Chlorocresol)/1 g,,SWAP1,,False,False,,,BDS001908,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_09ae6284cdd3,False,,True,,infected_eczema_localized_adult,5 days,source_missing_hide_from_rx,,Fusidic acid 20 mg+Hydrocortisone Acetate 10 mg+อื่นๆ/1 g,,RX1,,False,False,,,BDS001910,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_160a0ae252cf,False,,True,,infected_eczema_localized_adult,5 days,source_missing_hide_from_rx,,Fusidic acid 20 mg+Betamethasone Valerate (eq. to Betamethasone 1 mg)+Preservative (Chlorocresol)/1 g,,SWAP1,,False,False,,,BDS001908,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_0c171a06c188,False,,True,,infected_eczema_localized_adult,5 days,source_missing_hide_from_rx,,Fusidic acid 20 mg+Hydrocortisone Acetate 10 mg+อื่นๆ/1 g,,RX1,,False,False,,,BDS001910,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_81df4ab20bbb,False,,True,,infected_eczema_localized_adult,5 days,source_missing_hide_from_rx,,Fusidic acid 20 mg+Betamethasone Valerate (eq. to Betamethasone 1 mg)+Preservative (Chlorocresol)/1 g,,SWAP1,,False,False,,,BDS001908,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_6b1d9b140157,False,,True,,uncomplicated_uti_adult,5 days,source_missing_hide_from_rx,,Norfloxacin 400 mg.,,RX1,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_27cd8df87b25,False,,True,,uncomplicated_uti_adult,5 days,source_missing_hide_from_rx,,Norfloxacin 400 mg.,,RX1,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_e550ec035d22,False,,True,,uncomplicated_uti_adult,5 days,source_missing_hide_from_rx,,Norfloxacin 400 mg.,,RX1,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_2d58654c4c11,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol 5 mg./1 ml.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",RX1,,False,False,,,BDS001437,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_124d79d01968,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",RX2,,False,False,,,BDS001847,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_3425da19f4cb,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.","requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",SWAP1,,False,False,,,BDS003721,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_6fc4c0360a34,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol 5 mg./1 ml.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",RX1,,False,False,,,BDS001437,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_b7a6109292ce,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",RX2,,False,False,,,BDS001847,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_3f889296fb3d,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.","requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",SWAP1,,False,False,,,BDS003721,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_1f7e2cd95f61,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol 5 mg./1 ml.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",RX1,,False,False,,,BDS001437,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_674a7f08dc54,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",RX2,,False,False,,,BDS001847,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_53125670fcce,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",topical_eye_antibiotic_support_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,"Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.","requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",SWAP1,,False,False,,,BDS003721,False,,cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_5b71957d1d72,False,,True,,infected_wound_oral_antibiotic_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_0e21de5321d6,False,,True,,infected_wound_oral_antibiotic_adult,3–5 days,source_missing_hide_from_rx,,Povidone-Iodine USP 10 % w/v,,RX2,,False,False,,,BDS001238,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_7dad36412608,False,,True,,infected_wound_oral_antibiotic_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_5f63c29ac6bf,False,,True,,infected_wound_oral_antibiotic_adult,3–5 days,source_missing_hide_from_rx,,Povidone-Iodine USP 10 % w/v,,RX2,,False,False,,,BDS001238,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_7e66e276c688,False,,True,,infected_wound_oral_antibiotic_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_81ed5c7cfab2,False,,True,,infected_wound_oral_antibiotic_adult,3–5 days,source_missing_hide_from_rx,,Povidone-Iodine USP 10 % w/v,,RX2,,False,False,,,BDS001238,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_332db4232e08,False,,True,,penicillin_allergy_resp_support_adult,5 days,source_missing_hide_from_rx,,Roxithromycin 150 mg.,,RX1,,False,False,,,BDS007066,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_42e2f6125dc7,False,,True,,penicillin_allergy_resp_support_adult,5 days,source_missing_hide_from_rx,,Roxithromycin 150 mg.,,RX1,,False,False,,,BDS007066,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_2a7b9a66798b,False,,True,,penicillin_allergy_resp_support_adult,5 days,source_missing_hide_from_rx,,Roxithromycin 150 mg.,,RX1,,False,False,,,BDS007066,False,,,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_dd009bbbf1d1,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Roxithromycin 150 mg.,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,RX1,,False,False,,,BDS007066,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_1c6c106887fb,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Sodium Chloride 0.9 g./100 ml.,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,RX2,,False,False,,,BDS044320,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_a511b2627585,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Roxithromycin 150 mg.,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,RX1,,False,False,,,BDS007066,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_4800d6cf38bd,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Sodium Chloride 0.9 g./100 ml.,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,RX2,,False,False,,,BDS044320,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_1e59b5b99631,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Roxithromycin 150 mg.,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,RX1,,False,False,,,BDS007066,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_0944884abe7a,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Sodium Chloride 0.9 g./100 ml.,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,RX2,,False,False,,,BDS044320,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_41b8c12360c7,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Roxithromycin 150 mg.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,RX1,,False,False,,,BDS007066,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_823fe839c857,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,RX2,,False,False,,,BDS002411,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_6883195eb70e,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Roxithromycin 150 mg.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,RX1,,False,False,,,BDS007066,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_0e0ada78bf2d,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,RX2,,False,False,,,BDS002411,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_151eb17c0f07,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Roxithromycin 150 mg.,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,RX1,,False,False,,,BDS007066,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_45d4a1d8079c,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_alt_adult,5 days,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,RX2,,False,False,,,BDS002411,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_b05565bc2d06,False,,True,,topical_fusidic_support_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,SWAP1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_2aee6014504e,False,,True,,topical_fusidic_support_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,SWAP1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_a05aa338c185,False,,True,,topical_fusidic_support_adult,5 days,source_missing_hide_from_rx,,Gentamicin 1 mg./1 g.,,SWAP1,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_77e6d303d0ba,False,,True,,uncomplicated_uti_alt_cipro_adult,5 days,source_missing_hide_from_rx,,Ciprofloxacin 500 mg.,,RX1,,False,False,,,BDS001496,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_0756271dcb96,False,,True,,uncomplicated_uti_alt_cipro_adult,5 days,source_missing_hide_from_rx,,Ciprofloxacin 500 mg.,,RX1,,False,False,,,BDS001496,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_9f54e1b2b48c,False,,True,,uncomplicated_uti_alt_cipro_adult,5 days,source_missing_hide_from_rx,,Ciprofloxacin 500 mg.,,RX1,,False,False,,,BDS001496,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_ce80a2788a1e,False,,True,,dysuria_lower_uti_adult,5 days,source_missing_hide_from_rx,,Norfloxacin 400 mg.,,RX1,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_7e84b5f8142a,False,,True,,dysuria_lower_uti_adult,5 days,source_missing_hide_from_rx,,Norfloxacin 400 mg.,,RX1,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_5714b48e2f6e,False,,True,,dysuria_lower_uti_adult,5 days,source_missing_hide_from_rx,,Norfloxacin 400 mg.,,RX1,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_dea01b37cdc1,False,,True,,frequency_urgency_uti_adult,5 days,source_missing_hide_from_rx,,Norfloxacin 400 mg.,,RX1,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_4f3edd113872,False,,True,,frequency_urgency_uti_adult,5 days,source_missing_hide_from_rx,,Norfloxacin 400 mg.,,RX1,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_033efc780011,False,,True,,frequency_urgency_uti_adult,5 days,source_missing_hide_from_rx,,Norfloxacin 400 mg.,,RX1,,False,False,,,BDS007591,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_8fc17be01ded,False,,True,,dental_abscess_support_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_10433f077d04,False,,True,,dental_abscess_support_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_2485e7b78498,False,,True,,dental_abscess_support_adult,5 days,source_missing_hide_from_rx,,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,,RX1,,False,False,,,BDS001103,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_26773a176962,False,,True,,tinea_pruritic_rash_adult,,source_missing_hide_from_rx,,Clotrimazole + Betamethasone Dipropionate w/w,topical antifungal product dose/duration source is required before additional tinea rows unlock,,,False,False,,,BDS001491,True,,cdc_ringworm_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_1daa87fc23d2,False,,True,,minor_skin_infection_topical_adult,,source_missing_hide_from_rx,,Gentamicin,,,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_cc120aebd1bd,False,,True,"Diagnose acute bacterial rhinosinusitis based on severe, persistent, or worsening symptoms; amoxicillin or amoxicillin/clavulanate are first-line.",bacterial_sinusitis_adult,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Amoxicillin + Clavulanic Acid,requires exact dose/frequency/duration and patient exclusion criteria before antibiotic gate can unlock,,,False,False,,,BDS001103,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_32055332971a,False,,True,Amoxicillin and penicillin remain first-line therapy due to reliable activity against GAS; recommended oral beta-lactam course is 10 days.,bacterial_pharyngitis_adult,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Amoxicillin,requires product-specific dose/frequency and allergy alternative evidence before antibiotic gate can unlock,,,False,False,,,BDS002201,False,,cdc_adult_outpatient_antibiotic_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_b175e8243fcb,False,,True,,tinea_corporis_localized_adult,,source_missing_hide_from_rx,,Clotrimazole + Betamethasone Dipropionate w/w,topical antifungal product dose/duration source is required before additional tinea rows unlock,,,False,False,,,BDS001491,True,,cdc_ringworm_hcp_2024; fda_otc_topical_antifungal_monograph_2021,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_7e0dcc12c0ed,False,,True,,impetigo_localized_adult,,source_missing_hide_from_rx,,Gentamicin,,,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_2797755b7b69,False,,True,,impetigo_localized_adult,,source_missing_hide_from_rx,,Amoxicillin,,,,False,False,,,BDS002201,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_27d28ae713f1,False,,True,,minor_wound_care_adult,,source_missing_hide_from_rx,,Gentamicin,,,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_f246266057ea,False,,True,,superficial_abrasion_adult,,source_missing_hide_from_rx,,Gentamicin,,,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_d7646b63da6a,False,,True,,minor_cut_wound_care_adult,,source_missing_hide_from_rx,,Gentamicin,,,,False,False,,,BDS002003,False,,,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_8e1c565ee9fd,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",,,False,False,,,BDS001437,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_6fcdae1e32b6,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid + Preservative,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",,,False,False,,,BDS001847,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_cc016d022788,False,,True,"Mild bacterial pink eye may get better without antibiotics; antibiotics may be necessary with pus, immunocompromise, or suspected certain bacteria.",bacterial_conjunctivitis_adult,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Oxytetracycline HCl + Polymyxin B Sulfate 10 + s,"requires exact topical antibiotic product, dose/frequency/duration, and eye red-flag exclusion before gate can unlock",,,False,False,,,BDS003721,True,,cdc_conjunctivitis_hcp_2024; cdc_conjunctivitis_treatment_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_678f9227c93a,False,,True,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.",bacterial_conjunctivitis_peds,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Chloramphenicol,"criteria can triage bacterial pattern, but product dose/duration source is still required",,,False,False,,,BDS001437,True,,cdc_conjunctivitis_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,True,abx_f94691216337,False,,True,"Bacterial conjunctivitis symptoms include purulent discharge causing matted eyelids, chemosis, decreased vision, eyelid swelling, and pain.",bacterial_conjunctivitis_peds,,source_missing_hide_from_rx,criteria partially sourced; product dose/duration still required,Fusidic acid + Preservative,"criteria can triage bacterial pattern, but product dose/duration source is still required",,,False,False,,,BDS001847,True,,cdc_conjunctivitis_hcp_2024,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_d2285ee6ad5f,False,,True,,bacterial_eyelid_infection_adult,,source_missing_hide_from_rx,,Oxytetracycline HCl + Polymyxin B Sulfate 10 + s,,,,False,False,,,BDS003721,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_2610b8505038,False,,True,,bacterial_eyelid_infection_adult,,source_missing_hide_from_rx,,Fusidic acid + Preservative,,,,False,False,,,BDS001847,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_45917a2a05ec,False,,True,,bacterial_eyelid_infection_peds,,source_missing_hide_from_rx,,Oxytetracycline HCl + Polymyxin B Sulfate 10 + s,,,,False,False,,,BDS003721,False,,,bacterial criteria; source-backed dose; duration; safety gate
,False,abx_23917b6327f1,False,,True,,bacterial_eyelid_infection_peds,,source_missing_hide_from_rx,,Fusidic acid + Preservative,,,,False,False,,,BDS001847,False,,,bacterial criteria; source-backed dose; duration; safety gate
