input_phrase,normalized_phrase,disease_key,diagnosis,icd10,category,population,priority,match_type,rx_now_rows,swap_rows,restricted_rows,antibiotic_rows_present,runtime_policy,red_flags,notes
dry eye,dry_eye,dry_eye_adult,Symptomatic dry eye syndrome,,Eye,adult,1,exact,1,1,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
dry eye child,dry_eye_child,dry_eye_peds_support,Pediatric dry eye support,,Eye,pediatric,1,exact,1,0,0,NO,pediatric_gate_required,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
child dry eye,child_dry_eye,dry_eye_peds_support,Pediatric dry eye support,,Eye,pediatric,2,alias,1,0,0,NO,pediatric_gate_required,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eye dryness child,eye_dryness_child,dry_eye_peds_support,Pediatric dry eye support,,Eye,pediatric,3,alias,1,0,0,NO,pediatric_gate_required,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
dry skin,dry_skin,dry_skin_adult,Dry skin / xerosis,,Skin/allergy-inflammatory,adult,1,exact,4,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
xerosis,xerosis,dry_skin_adult,Dry skin / xerosis,,Skin/allergy-inflammatory,adult,2,alias,4,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
rough skin,rough_skin,dry_skin_adult,Dry skin / xerosis,,Skin/allergy-inflammatory,adult,3,alias,4,2,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
dyspepsia gas,dyspepsia_gas,dyspepsia_gas_adult,Dyspeptic gas / post-meal belching,,GI/GERD-dyspepsia,adult,1,exact,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
post meal belching,post_meal_belching,dyspepsia_gas_adult,Dyspeptic gas / post-meal belching,,GI/GERD-dyspepsia,adult,2,alias,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
belching after meals,belching_after_meals,dyspepsia_gas_adult,Dyspeptic gas / post-meal belching,,GI/GERD-dyspepsia,adult,3,alias,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
dyspepsia,dyspepsia,dyspepsia_uninvestigated_adult,Uninvestigated dyspepsia in adults,,GI/GERD-dyspepsia,adult,1,exact,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
epigastric pain bloating nausea,epigastric_pain_bloating_nausea,dyspepsia_uninvestigated_adult,Uninvestigated dyspepsia in adults,,GI/GERD-dyspepsia,adult,1,semantic,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
dysuria lower uti,dysuria_lower_uti,dysuria_lower_uti_adult,Lower UTI with dysuria,,GU/UTI,adult,1,exact,1,1,0,NO,rx_now_plus_swaps,"Fever/flank pain/pregnancy/male/complicated UTI → urine test/eval | Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
burning urination,burning_urination,dysuria_lower_uti_adult,Lower UTI with dysuria,,GU/UTI,adult,2,alias,1,1,0,NO,rx_now_plus_swaps,"Fever/flank pain/pregnancy/male/complicated UTI → urine test/eval | Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
lower uti burning,lower_uti_burning,dysuria_lower_uti_adult,Lower UTI with dysuria,,GU/UTI,adult,3,alias,1,1,0,NO,rx_now_plus_swaps,"Fever/flank pain/pregnancy/male/complicated UTI → urine test/eval | Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
dry itchy eczema,dry_itchy_eczema,eczema_dry_pruritic_adult,Dry pruritic eczema,,Skin/allergy-inflammatory,adult,1,exact,3,4,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eczema dry itchy,eczema_dry_itchy,eczema_dry_pruritic_adult,Dry pruritic eczema,,Skin/allergy-inflammatory,adult,2,alias,3,4,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
xerotic eczema,xerotic_eczema,eczema_dry_pruritic_adult,Dry pruritic eczema,,Skin/allergy-inflammatory,adult,3,alias,3,4,0,NO,rx_now_plus_swaps,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eczema herpeticum,eczema_herpeticum,eczema_herpeticum_child,Eczema herpeticum,,Skin/allergy-inflammatory,pediatric,1,exact,2,1,0,NO,pediatric_gate_required,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
punched out eczema,punched_out_eczema,eczema_herpeticum_child,Eczema herpeticum,,Skin/allergy-inflammatory,pediatric,1,semantic,2,1,0,NO,pediatric_gate_required,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
epistaxis,epistaxis,epistaxis_adult,Anterior epistaxis / nosebleed,,ENT/epistaxis,adult,1,exact,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
nosebleed,nosebleed,epistaxis_adult,Anterior epistaxis / nosebleed,,ENT/epistaxis,adult,1,alias,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
เลือดกำเดาไหล,,epistaxis_adult,Anterior epistaxis / nosebleed,,ENT/epistaxis,adult,1,alias,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
nosebleed child,nosebleed_child,epistaxis_peds,Pediatric anterior epistaxis / nosebleed,,ENT/epistaxis,pediatric,1,exact,1,0,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
เลือดกำเดาไหล เด็ก,,epistaxis_peds,Pediatric anterior epistaxis / nosebleed,,ENT/epistaxis,pediatric,1,alias,1,0,0,NO,pediatric_gate_required,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eye irritation,eye_irritation,eye_irritation_adult,Eye irritation / dust exposure,,Eye,adult,1,exact,3,0,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
dust in eye,dust_in_eye,eye_irritation_adult,Eye irritation / dust exposure,,Eye,adult,2,alias,3,0,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
red eye from dust,red_eye_from_dust,eye_irritation_adult,Eye irritation / dust exposure,,Eye,adult,3,alias,3,0,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eye irritation child,eye_irritation_child,eye_irritation_peds,Pediatric eye irritation support,,Eye,pediatric,1,exact,2,0,0,NO,pediatric_gate_required,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eye irritation kid,eye_irritation_kid,eye_irritation_peds,Pediatric eye irritation support,,Eye,pediatric,2,alias,2,0,0,NO,pediatric_gate_required,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
dust in eye child,dust_in_eye_child,eye_irritation_peds,Pediatric eye irritation support,,Eye,pediatric,3,alias,2,0,0,NO,pediatric_gate_required,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eye lubrication,eye_lubrication,eye_lubrication_adult,Eye lubrication support,,Eye,adult,1,exact,2,0,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
lubricant drops,lubricant_drops,eye_lubrication_adult,Eye lubrication support,,Eye,adult,2,alias,2,0,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
artificial tears,artificial_tears,eye_lubrication_adult,Eye lubrication support,,Eye,adult,3,alias,2,0,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eye wash,eye_wash,eye_wash_support_adult,Eye wash support,,Eye,adult,1,exact,3,0,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
wash eye,wash_eye,eye_wash_support_adult,Eye wash support,,Eye,adult,2,alias,3,0,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eye rinse,eye_rinse,eye_wash_support_adult,Eye wash support,,Eye,adult,3,alias,3,0,0,NO,rx_now_plus_swaps,"Eye pain, photophobia, vision loss, contact lens corneal concern → urgent eye eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
fh treatment,fh_treatment,familial_hypercholesterolaemia_adult_treatment,Familial hypercholesterolaemia adult lipid lowering,,Chronic/lipid,adult,1,semantic,0,0,0,NO,restricted_only_show_safety_line,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
foreign body irritation,foreign_body_irritation,foreign_body_irritation_followup_adult,Foreign-body irritation follow-up,,general,adult,1,exact,1,0,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
eye irritation follow up,eye_irritation_follow_up,foreign_body_irritation_followup_adult,Foreign-body irritation follow-up,,general,adult,2,alias,1,0,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
after dust eye irritation,after_dust_eye_irritation,foreign_body_irritation_followup_adult,Foreign-body irritation follow-up,,general,adult,3,alias,1,0,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
urine frequency urgency,urine_frequency_urgency,frequency_urgency_uti_adult,Lower UTI with frequency / urgency,,GU/UTI,adult,1,exact,0,2,0,NO,restricted_only_show_safety_line,Fever/flank pain/pregnancy/male/complicated UTI → urine test/eval,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
uti frequency urgency,uti_frequency_urgency,frequency_urgency_uti_adult,Lower UTI with frequency / urgency,,GU/UTI,adult,2,alias,0,2,0,NO,restricted_only_show_safety_line,Fever/flank pain/pregnancy/male/complicated UTI → urine test/eval,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
frequent urination infection,frequent_urination_infection,frequency_urgency_uti_adult,Lower UTI with frequency / urgency,,GU/UTI,adult,3,alias,0,2,0,NO,restricted_only_show_safety_line,Fever/flank pain/pregnancy/male/complicated UTI → urine test/eval,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
functional bloating,functional_bloating,functional_bloating_adult,Functional bloating / flatulence,,GI/GERD-dyspepsia,adult,1,exact,1,2,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
flatulence,flatulence,functional_bloating_adult,Functional bloating / flatulence,,GI/GERD-dyspepsia,adult,2,alias,1,2,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
stomach gas bloating,stomach_gas_bloating,functional_bloating_adult,Functional bloating / flatulence,,GI/GERD-dyspepsia,adult,3,alias,1,2,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
fungal intertrigo,fungal_intertrigo,fungal_intertrigo_adult,Fungal intertrigo,,Skin/fungal,adult,1,exact,1,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
skin fold fungal rash,skin_fold_fungal_rash,fungal_intertrigo_adult,Fungal intertrigo,,Skin/fungal,adult,2,alias,1,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
candida intertrigo,candida_intertrigo,fungal_intertrigo_adult,Fungal intertrigo,,Skin/fungal,adult,3,alias,1,1,0,NO,rx_now_plus_swaps,"Rapid spread, fever, necrosis, bite, deep burn/wound → in-person/ER",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
belching,belching,gas_belching_adult,Dyspepsia-type gas / belching,,GI/GERD-dyspepsia,adult,1,exact,1,2,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gas belching,gas_belching,gas_belching_adult,Dyspepsia-type gas / belching,,GI/GERD-dyspepsia,adult,2,alias,1,2,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
dyspeptic gas,dyspeptic_gas,gas_belching_adult,Dyspepsia-type gas / belching,,GI/GERD-dyspepsia,adult,3,alias,1,2,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gastroenteritis,gastroenteritis,gastroenteritis_mild_adult,Mild viral gastroenteritis,,GI/diarrhea,adult,1,exact,4,4,0,NO,rx_now_plus_swaps,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
viral gastroenteritis,viral_gastroenteritis,gastroenteritis_mild_adult,Mild viral gastroenteritis,,GI/diarrhea,adult,2,alias,4,4,0,NO,rx_now_plus_swaps,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
mild diarrhea,mild_diarrhea,gastroenteritis_mild_adult,Mild viral gastroenteritis,,GI/diarrhea,adult,3,alias,4,4,0,NO,rx_now_plus_swaps,"Severe dehydration, blood/mucus stool, high fever, severe abdominal pain → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
vaginal dryness menopause,vaginal_dryness_menopause,genitourinary_syndrome_menopause_adult,Genitourinary syndrome of menopause,,ENT/URI-cough,adult,1,exact,0,0,0,NO,restricted_only_show_safety_line,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
painful sex menopause,painful_sex_menopause,genitourinary_syndrome_menopause_adult,Genitourinary syndrome of menopause,,ENT/URI-cough,adult,1,semantic,0,0,0,NO,restricted_only_show_safety_line,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
vaginal irritation after menopause,vaginal_irritation_after_menopause,genitourinary_syndrome_menopause_adult,Genitourinary syndrome of menopause,,ENT/URI-cough,adult,1,semantic,0,0,0,NO,restricted_only_show_safety_line,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
urinary discomfort menopause,urinary_discomfort_menopause,genitourinary_syndrome_menopause_adult,Genitourinary syndrome of menopause,,ENT/URI-cough,adult,1,semantic,0,0,0,NO,restricted_only_show_safety_line,"Dyspnea, SpO2 low, chest pain, persistent fever/toxic → eval",Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
reflux not better with ppi,reflux_not_better_with_ppi,gerd_alarm_or_refractory,GERD with alarm features or refractory symptoms,,GI/GERD-dyspepsia,adult,1,red_flag,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gerd dysphagia,gerd_dysphagia,gerd_alarm_or_refractory,GERD with alarm features or refractory symptoms,,GI/GERD-dyspepsia,adult,1,red_flag,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
heartburn weight loss,heartburn_weight_loss,gerd_alarm_or_refractory,GERD with alarm features or refractory symptoms,,GI/GERD-dyspepsia,adult,1,red_flag,1,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
nocturnal reflux,nocturnal_reflux,gerd_nocturnal_adult,Nocturnal GERD / nighttime reflux,,GI/GERD-dyspepsia,adult,1,exact,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
heartburn at night,heartburn_at_night,gerd_nocturnal_adult,Nocturnal GERD / nighttime reflux,,GI/GERD-dyspepsia,adult,1,semantic,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gerd,gerd,gerd_uncomplicated_adult,"Gastroesophageal reflux disease, uncomplicated",,GI/GERD-dyspepsia,adult,1,exact,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
reflux,reflux,gerd_uncomplicated_adult,"Gastroesophageal reflux disease, uncomplicated",,GI/GERD-dyspepsia,adult,1,exact,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
heartburn,heartburn,gerd_uncomplicated_adult,"Gastroesophageal reflux disease, uncomplicated",,GI/GERD-dyspepsia,adult,1,exact,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
acid regurgitation,acid_regurgitation,gerd_uncomplicated_adult,"Gastroesophageal reflux disease, uncomplicated",,GI/GERD-dyspepsia,adult,1,exact,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
sour burp,sour_burp,gerd_uncomplicated_adult,"Gastroesophageal reflux disease, uncomplicated",,GI/GERD-dyspepsia,adult,2,semantic,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gingivitis,gingivitis,gingivitis_localized_adult,Localized gingivitis,,Oral/dental,adult,1,exact,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gum inflammation,gum_inflammation,gingivitis_localized_adult,Localized gingivitis,,Oral/dental,adult,2,alias,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
swollen gums,swollen_gums,gingivitis_localized_adult,Localized gingivitis,,Oral/dental,adult,3,alias,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gord,gord,gord_adult_empiric,Gastro-oesophageal reflux disease in adults,,GI/GERD-dyspepsia,adult,1,exact,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
heartburn acid regurgitation,heartburn_acid_regurgitation,gord_adult_empiric,Gastro-oesophageal reflux disease in adults,,GI/GERD-dyspepsia,adult,1,semantic,2,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
allopurinol,allopurinol,gout_urate_lowering_review,Gout urate-lowering therapy review,,Pain,adult,1,exact,0,0,0,NO,restricted_only_show_safety_line,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gum inflammation support,gum_inflammation_support,gum_inflammation_support_adult,Gum inflammation support,,Oral/dental,adult,1,exact,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
gum gargle support,gum_gargle_support,gum_inflammation_support_adult,Gum inflammation support,,Oral/dental,adult,2,alias,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
oral antiseptic gum support,oral_antiseptic_gum_support,gum_inflammation_support_adult,Gum inflammation support,,Oral/dental,adult,3,alias,4,1,0,NO,rx_now_plus_swaps,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
h pylori,h_pylori,h_pylori_confirmed_adult,Confirmed active Helicobacter pylori infection,,GI/GERD-dyspepsia,adult,1,exact,1,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
helicobacter pylori,helicobacter_pylori,h_pylori_confirmed_adult,Confirmed active Helicobacter pylori infection,,GI/GERD-dyspepsia,adult,1,exact,1,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
h pylori positive,h_pylori_positive,h_pylori_confirmed_adult,Confirmed active Helicobacter pylori infection,,GI/GERD-dyspepsia,adult,1,exact,1,4,0,YES,disease_gated_antibiotic,Red flags or diagnostic uncertainty → in-person evaluation,Imported from old complaint map; now points to Gold v3 disease-modality rows. V4 overlay keeps this phrase; see GOLD_Regimens_v4.
