id,name,genericGroup,composition,status,reason
BDS008609,Ampol Suspension (60 ml.),Paracetamol,Paracetamol 120 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS002407,Kit-F Drops (15 ml.),Paracetamol,Paracetamol 60 mg./0.6 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS007583,Newtamol Syrup (60 ml.),Paracetamol,Paracetamol 150 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS002861,Panadol Orange Suspension (60 ml.),Paracetamol,Paracetamol 250 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS002847,Panadol Strawberry Suspension (60 ml.),Paracetamol,Paracetamol 120 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS008137,Poro Suspension (60 ml.),Paracetamol,Paracetamol 250 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS003597,Sara Infant Drops (รสองุ่น) (15 ml.),Paracetamol,Paracetamol 60 mg./0.6 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS003596,Sara น้ำรสสตรอเบอร์รี่ (60 ml.),Paracetamol,Paracetamol 120 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS003504,Sara น้ำรสส้ม (60 ml.),Paracetamol,Paracetamol 250 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS003600,Sara น้ำรสองุ่น (60 ml.),Paracetamol,Paracetamol 160 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS003711,Tempra Drop (15 ml.),Paracetamol,Paracetamol 80 mg./0.8 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS003712,Tempra Forte (60 ml.),Paracetamol,Paracetamol 250 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS048670,Tempra Kids Orange (60 ml.),Paracetamol,Paracetamol 120 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS003713,Tempra Kids Strawberry (60 ml.),Paracetamol,Paracetamol 120 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS003737,Tylenol Drop (15 ml.),Paracetamol,Paracetamol 80 mg./0.8 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS003763,Tylenol Suspension (60 ml.),paracetamol syrup,Paracetamol 160 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS001015,Aerius Syrup (60 ml.),Desloratadine,Desloratadine 0.5 mg./1 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS007003,Asiatapp Infant Drops (ควบคุมจำนวน) (15 ml.),Brompheniramine Maleate + Phenylephrine HCl,Brompheniramine Maleate 2.0 mg.+Phenylephrine HCl 2.5 mg./1 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS008047,Asiatapp Syrup (ควบคุมจำนวน) (60 ml.),Brompheniramine Maleate + Phenylephrine HCl,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS008033,Chlophen Syrup (ควบคุมจำนวน) (60 ml.),Chlorpheniramine Maleate,Chlorpheniramine Maleate 2 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS007038,Cistamine Syrup (60 ml.),Cetirizine 2HCl,Cetirizine 2HCl 5 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS044519,Lorius Syrup (60 ml.),Desloratadine,Desloratadine 0.5 mg./1 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS007271,Sea Chlor Syrup (ควบคุมจำนวน) (60 ml.),Chlorpheniramine Maleate,Chlorpheniramine Maleate 2 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS003573,Sulidine CP Plus (ควบคุมจำนวน) (60 ml.),Acetaminophen + Chlorpheniramine maleate + Phenylephrine HCl,Acetaminophen 120 mg+Chlorpheniramine maleate 1 mg+Phenylephrine HCl 5 mg/5 ml,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS008301,Trandrozine Syrup (ควบคุมจำนวน) (60 ml.),Hydroxyzine HCl,Hydroxyzine HCl 10 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS008086,Zermed Syrup (60 ml.),Cetirizine 2HCl,Cetirizine 2HCl 5 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS004212,Zyrtec Syrup (75 ml.),cetirizine syrup,Cetirizine 2HCI 1 mg./1 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS006036,Icorin Kids Syrup (60 ml.),Butamirate Citrate,Butamirate Citrate 4 mg/5 ml,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS002290,Ivorin Syrup (60 ml.),Levodropropizine,Levodropropizine 30 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001257,Bisolvon EX Syrup เล็ก (60 ml.),bromhexine syrup,Bromhexine HCl 4 mg.+K guaiacolsulphonate 100 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS001296,Bisolvon EX Syrup ใหญ่ (125 ml.),Bromhexine HCl + K guaiacolsulphonate,Bromhexine HCl 4 mg.+K guaiacolsulphonate 100 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001253,Bisolvon Pediatric Syrup (60 ml.),Bromhexine HCl,Bromhexine HCl 4 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS007033,Bocytin Syrup (60 ml.),Carbocysteine,Carbocysteine 250 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS041506,Carboflex Syrup (60 ml.),Carbocysteine,Carbocysteine 250 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001495,Cisteine (60 ml.),Carbocysteine,Carbocysteine 100 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001919,Flemex Kids (60 ml.),Carbocysteine,Carbocysteine 100 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001920,Flemex Syrup (60 ml.),Carbocysteine,Carbocysteine 250 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS007742,Mucobrox (60 ml.),Ambroxol HCl,Ambroxol HCl 30 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS002659,Mucoflux Syrup (60 ml.),Cyclidrol,Cyclidrol 80 mg./10 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS002691,Mucolid Junior บลูเบอร์รี่ (60 ml.),ambroxol syrup,Ambroxol HCl 15 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS002654,Mucolid Syrup (60 ml.),Ambroxol HCl,Ambroxol HCl 30 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS003697,Solmax Forte Suspension (60 ml.),Carbocysteine,Carbocysteine 500 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS003782,Solmax Kids Suspension (60 ml.),Carbocysteine,Carbocysteine 200 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS040009,Anpuzz 520 (10 tabs),Mefenamic acid + Dicyclomine HCl,Mefenamic acid 500 mg. + Dicyclomine HCl 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001076,Arcoxia 120 mg (5 tabs),Etoricoxib,Etoricoxib 120 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001078,Arcoxia 60 mg (5 tabs),etoricoxib,Etoricoxib 60 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001075,Arcoxia 90 mg (5 tabs),Etoricoxib,Etoricoxib 90 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS040616,Biocoxib 90 mg. (5 tabs),Etoricoxib,Etoricoxib 90 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008116,Cambic 15 (10 tabs),Meloxicam,Meloxicam 15 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS041402,Cataflam 50 mg (10 tabs),Diclofenac Potassium,Diclofenac Potassium 50 mg,no_peds_reference,no pediatric reference and no parseable concentration
BDS007035,Catanac 50 mg (10 tabs),Diclofenac Potassium,Diclofenac Potassium 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001509,Celebrex 200 mg (10 cap),celecoxib,Celecoxib 200 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001507,Celebrex 400 mg (10 cap),Celecoxib,Celecoxib 400 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001822,Dosanac 25 (10 tabs),Diclofenac Sodium,Diclofenac Sodium 25 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001824,Dosanac 50 (10 tabs),Diclofenac Sodium,Diclofenac Sodium 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS042806,Eberil 120 (5 tabs),Etoricoxib,Etoricoxib 120 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008061,Felcam (10 tabs),Piroxicam,Piroxicam 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007602,Felcam Capsule (10 cap),Piroxicam,Piroxicam 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS044250,Japrolox tabslets (20 tabs),Loxoprofen sodium,Loxoprofen sodium 60 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS044900,Mefamed 500 (10 tabs),Mefenamic acid,Mefenamic acid 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002669,Melcam (10 tabs),Meloxicam,Meloxicam 7.5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS044909,Meomic 500 (10 tabs),Mefenamic acid,Mefenamic acid 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002642,Mobic 7.5 mg (10 tabs),Meloxicam,Meloxicam 7.5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS045624,Naprofazt (10 cap),Naproxen,Naproxen (as Naproxen Sodium) 250 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007214,Naproflex (6 tabs),Naproxen sodium,Naproxen sodium 275 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007576,Naprosian (10 tabs),Naproxen,Naproxen 250 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003422,Pircam 20 mg (10 cap),Piroxicam,Piroxicam 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003131,Ponstan 500 mg (10 tabs),Mefenamic acid,Mefenamic acid 500 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS047654,Soproxen (10 tabs),Naproxen sodium,Naproxen sodium 275 mg. (eq. to Naproxen 250 mg.),no_peds_reference,no pediatric reference and no parseable concentration
BDS003581,S-Pro 600 (10 tabs),Ibuprofen,Ibuprofen 600 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003599,Subsyde-CR (10 cap),Diclofenac Sodium,Diclofenac Sodium 100 mg. (Controlled Release cap),no_peds_reference,no pediatric reference and no parseable concentration
BDS003568,Synflex (6 tabs),naproxen,Naproxen sodium 275 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS049251,Voltaren SR 100 mg (10 tabs),Diclofenac Sodium,Diclofenac Sodium 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS004052,Voltaren SR 75 mg (10 tabs),Diclofenac Sodium,Diclofenac Sodium 75 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS004041,Voltaren-25 (10 tabs),Diclofenac Sodium,Diclofenac Sodium 25 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS049777,Zobrex (10 cap),Celecoxib,Celecoxib 200 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001248,Bioflor (1 sachet),saccharomyces boulardii,Lyophilized Saccharomyces boulardii 250 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001233,Bioflor Capsule (5 cap),Lyophilized Saccharomyces boulardii,Lyophilized Saccharomyces boulardii 250 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS042802,Erfuzide cap (12 cap),Nifuroxazide,Nifuroxazide 200 mg,no_peds_reference,no pediatric reference and no parseable concentration
BDS043842,Hidrasec 100 mg. (10 cap),racecadotril,Racecadotril 100 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS002108,Hidrasec Paediatric 30 mg (3 g.),racecadotril paeds,Racecadotril 30 mg.,has_ref_but_not_parseable,pediatric reference exists but amount cannot be parsed exactly
BDS001231,Benda Syrup กลิ่นผลไม้รวม (30 ml.),Mebendazole,Mebendazole 100 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS049775,Zenzera-200 Suspension (10 ml.),Albendazole,Albendazole 200 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS007973,Fartussin (ควบคุมจำนวน) (10 tabs),cough combo,Dextromethorphan HBr 15 mg.+Glyceryl Guaiacolate 100 mg.+Terpin Hydrate 130 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008106,Kenya-I (ควบคุมจำนวน) (10 tabs),Dextromethorphan HBr + Chlorpheniramine maleate + Terpine hydrate,Dextromethorphan HBr 15 mg+Chlorpheniramine maleate 2 mg+Terpine hydrate 125 mg,no_peds_reference,no pediatric reference and no parseable concentration
BDS003112,Patar-Cap (ควบคุมจำนวน) (10 cap),Dextromethorphan + Guaifenesin,Dextromethorphan 10 mg.+Guaifenesin 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003416,Robitussin DM เล็ก (ควบคุมจำนวน) (60 ml.),Guaifenesin + Dextromethorphan HBr,Guaifenesin 200 mg.+Dextromethorphan HBr 10 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001458,Asthmasian Expectorant Syrup (60 ml.),Terbutaline sulfate + Glyceryl guaiacolate,Terbutaline sulfate 1.5 mg.+Glyceryl guaiacolate 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002618,Meptin น้ำ มีกล่อง (60 ml.),Procaterol HCl,Procaterol HCl 5 mcg./1 ml.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003645,Salbulin Syrup (60 ml.),Salbutamol,Salbutamol 2.4 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS003589,Salmol Syrup (60 ml.),Salbutamol,Salbutamol 2 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001071,Avamigran (1 blister),Ergotamine tartrate + Caffeine,Ergotamine tartrate 1 mg.+Caffeine 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001405,Cafergot (10 tabs),Ergotamine tartrate + Caffeine,Ergotamine tartrate 1 mg.+Caffeine 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS006840,Relpax 40 mg (2 tabs),eletriptan,Eletriptan 40 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS047646,Siagran 50 mg (4 tabs),Sumatriptan succinate,Sumatriptan succinate (eq. to Sumatriptan 50 mg.),no_peds_reference,no pediatric reference and no parseable concentration
BDS001404,Tofago (10 tabs),Ergotamine tartrate + Caffeine,Ergotamine tartrate 1 mg.+Caffeine 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007022,Behistin (10 tabs),Betahistine Mesylate,Betahistine Mesylate 6 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008007,Cephadol (10 tabs),Diphenidol hydrochloride,Diphenidol hydrochloride 25 mg,no_peds_reference,no pediatric reference and no parseable concentration
BDS007055,Cinerine (10 tabs),Cinnarizine,Cinnarizine 25 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008142,Liberal Cap (10 cap),Flunarizine,Flunarizine 5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002688,Merislon 12 mg (10 tabs),Betahistine Mesilate,Betahistine Mesilate 12 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002621,Merislon 6 mg (10 tabs),Betahistine Mesilate,Betahistine Mesilate 6 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007222,Poli-Flunarin (10 cap),Flunarizine,Flunarizine 5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003510,Serc 16 mg (20 tabs),Betahistine dihydrochloride,Betahistine dihydrochloride 16 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS006571,Serc 24 mg (20 tabs),betahistine,Betahistine dihydrochloride 24 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS047664,Sobelin (10 cap),Flunarizine,Flunarizine 5 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007272,Stei 16 mg (10 tabs),Betahistine dihydrochloride,Betahistine dihydrochloride 16 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003514,Stugeron 25 mg (10 tabs),Cinnarizine,Cinnarizine 25 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008034,Berclomine Syrup (60 ml.),dicyclomine + simethicone syrup,Dicyclomine 5 mg.+Simethicone 50 mg./5 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS042321,Daflon 1000 mg (10 tabs),Diosmin + Hesperidin,Diosmin 900 mg.+Hesperidin 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001602,Daflon 500 mg (15 tabs),Diosmin + Hesperidin,Diosmin 450 mg.+Hesperidin 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001444,Dafomin 500 mg (10 tabs),Diosmin + Hesperidin,Diosmin 450 mg.+Hesperidin 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS008452,Diosmin 500 (10 tabs),Diosmin + Hesperidin,Diosmin 450 mg.+Hesperidin 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003407,Reparil Dragees (10 tabs),Absorbable aescin,Absorbable aescin 20 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003507,Siduol (10 cap),Vit K1 + Rutin + Lysozyme Cl + Vit E,Vit K1 2 mg+ Rutin 100 mg+Lysozyme Cl 10 mg+Vit E 52 mg+Pluronic F-68 20 mg,no_peds_reference,no pediatric reference and no parseable concentration
BDS007765,T-Osmin (10 tabs),Diosmin + Hesperidin,Diosmin 450 mg.+Hesperidin 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003739,Tramal (10 cap),Tramadol HCl,Tramadol HCl 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001283,Buscopan (10 tabs),hyoscine butylbromide,Hyoscine-N-butylbromide 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007061,Cencopan-S (10 tabs),Hyoscine-N-butylbromide,Hyoscine-N-butylbromide 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001484,Colofac 135 (10 tabs),Mebeverine HCl,Mebeverine HCl 135 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001707,Duspatin 135 (10 tabs),Mebeverine HCl,Mebeverine HCl 135 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007284,Scopas S/C tabslets (10 tabs),Hyoscine-N-butylbromide,Hyoscine-N-butylbromide 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007303,Spacovin 40 (10 tabs),Drotaverine Hydrochloride,Drotaverine Hydrochloride 40 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007107,Sparta (10 tabs),Drotaverine Hydrochloride,Drotaverine Hydrochloride 40 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007274,Spasuri (10 tabs),Flavoxate HCl,Flavoxate HCl 100 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001042,Amogin-Gel bottle 240 ml (240 ml.),Aluminium Hydroxide + Magnesium Hydroxide + Dimethylpolysiloxane,Aluminium Hydroxide 0.459 g.+Magnesium Hydroxide 0.300 g.+Dimethylpolysiloxane 0.021 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001095,Amogin-Gel sachet 15 ml (15 ml.),Aluminium Hydroxide + Magnesium Hydroxide + Dimethylpolysiloxane,Aluminium Hydroxide 0.459 g.+Magnesium Hydroxide 0.300 g.+Dimethylpolysiloxane 0.021 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001050,Antacil Gel กลาง (450 ml.),Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Aluminium Hydroxide 960 mg. (Aluminium Hydroxide Compressed Gel)+Magnesium Hydroxide 330 mg.+Simethicone 60 mg./15 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001048,Antacil Gel เล็ก (240 ml.),Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Aluminium Hydroxide 960 mg. (Aluminium Hydroxide Compressed Gel)+Magnesium Hydroxide 330 mg.+Simethicone 60 mg./15 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS040608,Belcid Forte Suspension (240 ml.),Aluminium Hydroxide Gel ( + Magnesium Hydroxide + Simethicone,Aluminium Hydroxide Gel (eq. to Aluminium Hydroxide 306 mg.+Magnesium Hydroxide 110 mg.+ Simethicone 30 mg./5 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS007133,Gaspec-S (240 ml.),Simethicone + Dried Aluminium Hydroxide gel + Magnesium Hydroxide,Simethicone 60 mg+Dried Aluminium Hydroxide gel 600 mg+Magnesium Hydroxide 375 mg./15 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS002010,Gastro Bismol (240 ml.),Bismuth Subsalicylate,Bismuth Subsalicylate 262 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS043614,Gaviscon Advance bottle 150 ml (150 ml.),Sodium alginate Ph Eur + Potassium bicarbonate + Calcium carbonate + Carbomer,Sodium alginate Ph Eur 1000 mg.+Potassium bicarbonate 200 mg. +Calcium carbonate+Carbomer+Methyl (E218)+Propyl (E216)+อื่นๆ,no_peds_reference,no pediatric reference and no parseable concentration
BDS043613,Gaviscon Advance sachet 10 ml (10 ml.),Sodium alginate Ph Eur + Potassium bicarbonate + Calcium carbonate + Carbomer,Sodium alginate Ph Eur 1000 mg.+Potassium bicarbonate 200 mg.+Calcium carbonate+Carbomer+Methyl (E218)+Propyl (E216)+อื่นๆ,no_peds_reference,no pediatric reference and no parseable concentration
BDS002012,Gaviscon Dual Action bottle 150 ml (150 ml.),Sodium alginate + Sodium bicarbonate + Calcium carbonate,Sodium alginate 500 mg.+Sodium bicarbonate 213 mg.+Calcium carbonate 325 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002033,Gaviscon Dual Action sachet 10 ml (10 ml.),Sodium alginate + Sodium bicarbonate + Calcium carbonate,Sodium alginate 500 mg.+Sodium bicarbonate 213 mg.+Calcium carbonate 325 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002014,Gaviscon Suspension bottle 150 ml (150 ml.),Sodium alginate + Sodium bicarbonate,Sodium alginate 500 mg.+Sodium bicarbonate 267 mg./10 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS002013,Gaviscon Suspension sachet 10 ml (10 ml.),Sodium alginate + Sodium bicarbonate + Calcium carbonate,Sodium alginate 500 mg.+Sodium bicarbonate 267 mg.+Calcium carbonate 160 mg./10 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS043606,Gaviscon Suspension กล่อง 4 ซอง (4 sachets),Sodium alginate + Sodium bicarbonate + Calcium carbonate,Sodium alginate 500 mg.+Sodium bicarbonate 267 mg.+Calcium carbonate 160 mg./10 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001029,Maalox Alum Milk (240 ml.),Al3 + Mg2,Al(OH)3 4.4 g.+Mg(OH)2 2.4 g./100 ml.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003565,Sucrate Gel (5 ml.),Sucralfate gel,Sucralfate gel 1 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003918,Ulcefate Suspension bottle 240 ml (240 ml.),Sucralfate,Sucralfate 1 g./5 ml.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003917,Ulcefate Suspension bottle 60 ml (60 ml.),Sucralfate,Sucralfate 1 g./5 ml.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003915,Ulcefate Suspension sachet 5 ml (5 ml.),Sucralfate,Sucralfate 1 g.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007951,Ziga Gel (240 ml.),Al3 + Mg2 + Simethicone,Al(OH)3 900 mg.+Mg(OH)2 400 mg.+Simethicone 70 mg./15 ml.,calc_ready_needs_target,parseable concentration but no exact pediatric reference mapping
BDS001013,Air-X Drops (15 ml.),simethicone drops,Simethicone 40 mg./0.6 ml.,auto_mapped,same-generic pediatric reference + parseable concentration
BDS002631,Mixt.Carminative (GPO) 180 ml (180 ml.),Cardamon Tincture + Capsicum Tincture + Ginger Tincture,Cardamon Tincture 1.80 ml.+Capsicum Tincture 0.06 ml.+Ginger Tincture 0.024 ml./15 ml.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002632,Mixt.Carminative (GPO) 450 ml (450 ml.),Cardamon Tincture + Capsicum Tincture + Ginger Tincture,Cardamon Tincture 1.80 ml.+Capsicum Tincture 0.06 ml.+Ginger Tincture 0.024 ml./15 ml.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007967,Ziga Gas (240 ml.),เปล้าน้อย + สมุลแว้ง + ขมิ้นชัน + กานพลู,เปล้าน้อย+สมุลแว้ง+ขมิ้นชัน+กานพลู+ลูกกระวาน+เกล็ดสะระแหน่,no_peds_reference,no pediatric reference and no parseable concentration
BDS006664,Baclofen (10 tabs),Baclofen,Baclofen 10 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS001271,Biocalm (10 tabs),tolperisone,Tolperisone 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007049,Cenasic (10 tabs),Paracetamol + Orphenadrine Citrate,Paracetamol 450 mg.+Orphenadrine Citrate 35 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS041455,Corilax tabslet (10 tabs),Paracetamol + Orphenadrine Citrate,Paracetamol 450 mg.+Orphenadrine Citrate 35 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS003410,M-Calm tabslet (10 tabs),Tolperisone Hydrochloride,Tolperisone Hydrochloride 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS044932,Muslexac (10 tabs),Paracetamol + Orphenadrine Citrate,Paracetamol 500 mg.+Orphenadrine Citrate 35 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007571,Musolax (10 tabs),Eperisone hydrochloride,Eperisone hydrochloride 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002652,Mydocalm (10 tabs),Tolperisone,Tolperisone 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002701,Myonal 50 mg (10 tabs),Eperisone hydrochloride,Eperisone hydrochloride 50 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS007752,Noraphen (10 tabs),Paracetamol + Orphenadrine Citrate,Paracetamol 500 mg.+Orphenadrine Citrate 35 mg.,no_peds_reference,no pediatric reference and no parseable concentration
BDS002840,Norgesic (10 tabs),Paracetamol + Orphenadrine Citrate,Paracetamol 450 mg.+Orphenadrine Citrate 35 mg.,no_peds_reference,no pediatric reference and no parseable concentration
